age_in_days,age_to_years,age_group
10318,28,30 or less
10319,28,30 or less
10320,28,30 or less
10321,28,30 or less
10322,28,30 or less
10323,28,30 or less
10324,28,30 or less
10325,28,30 or less
10326,28,30 or less
10327,28,30 or less
10328,28,30 or less
10329,28,30 or less
10330,28,30 or less
10331,28,30 or less
10332,28,30 or less
10333,28,30 or less
10334,28,30 or less
10335,28,30 or less
10336,28,30 or less
10337,28,30 or less
10338,28,30 or less
10339,28,30 or less
10340,28,30 or less
10341,28,30 or less
10342,28,30 or less
10343,28,30 or less
10344,28,30 or less
10345,28,30 or less
10346,28,30 or less
10347,28,30 or less
10348,28,30 or less
10349,28,30 or less
10350,28,30 or less
10351,28,30 or less
10352,28,30 or less
10353,28,30 or less
10354,28,30 or less
10355,28,30 or less
10356,28,30 or less
10357,28,30 or less
10358,28,30 or less
10359,28,30 or less
10360,28,30 or less
10361,28,30 or less
10362,28,30 or less
10363,28,30 or less
10364,28,30 or less
10365,28,30 or less
10366,28,30 or less
10367,28,30 or less
10368,28,30 or less
10369,28,30 or less
10370,28,30 or less
10371,28,30 or less
10372,28,30 or less
10373,28,30 or less
10374,28,30 or less
10375,28,30 or less
10376,28,30 or less
10377,28,30 or less
10378,28,30 or less
10379,28,30 or less
10380,28,30 or less
10381,28,30 or less
10382,28,30 or less
10383,28,30 or less
10384,28,30 or less
10385,28,30 or less
10386,28,30 or less
10387,28,30 or less
10388,28,30 or less
10389,28,30 or less
10390,28,30 or less
10391,28,30 or less
10392,28,30 or less
10393,28,30 or less
10394,28,30 or less
10395,28,30 or less
10396,28,30 or less
10397,28,30 or less
10398,28,30 or less
10399,28,30 or less
10400,28,30 or less
10401,28,30 or less
10402,28,30 or less
10403,28,30 or less
10404,28,30 or less
10405,28,30 or less
10406,28,30 or less
10407,28,30 or less
10408,28,30 or less
10409,28,30 or less
10410,29,30 or less
10411,29,30 or less
10412,29,30 or less
10413,29,30 or less
10414,29,30 or less
10415,29,30 or less
10416,29,30 or less
10417,29,30 or less
10418,29,30 or less
10419,29,30 or less
10420,29,30 or less
10421,29,30 or less
10422,29,30 or less
10423,29,30 or less
10424,29,30 or less
10425,29,30 or less
10426,29,30 or less
10427,29,30 or less
10428,29,30 or less
10429,29,30 or less
10430,29,30 or less
10431,29,30 or less
10432,29,30 or less
10433,29,30 or less
10434,29,30 or less
10435,29,30 or less
10436,29,30 or less
10437,29,30 or less
10438,29,30 or less
10439,29,30 or less
10440,29,30 or less
10441,29,30 or less
10442,29,30 or less
10443,29,30 or less
10444,29,30 or less
10445,29,30 or less
10446,29,30 or less
10447,29,30 or less
10448,29,30 or less
10449,29,30 or less
10450,29,30 or less
10451,29,30 or less
10452,29,30 or less
10453,29,30 or less
10454,29,30 or less
10455,29,30 or less
10456,29,30 or less
10457,29,30 or less
10458,29,30 or less
10459,29,30 or less
10460,29,30 or less
10461,29,30 or less
10462,29,30 or less
10463,29,30 or less
10464,29,30 or less
10465,29,30 or less
10466,29,30 or less
10467,29,30 or less
10468,29,30 or less
10469,29,30 or less
10470,29,30 or less
10471,29,30 or less
10472,29,30 or less
10473,29,30 or less
10474,29,30 or less
10475,29,30 or less
10476,29,30 or less
10477,29,30 or less
10478,29,30 or less
10479,29,30 or less
10480,29,30 or less
10481,29,30 or less
10482,29,30 or less
10483,29,30 or less
10484,29,30 or less
10485,29,30 or less
10486,29,30 or less
